id,name,repeat+AF8-id,batch+AF8-size,learning+AF8-rate,env+AF8-name,epsilon+AF8-decay,debug,is+AF8-curiosity,episode,e+AF8-score,e+AF8-score+AF8-min,e+AF8-score+AF8-max,score+AF8-avg,score+AF8-best,loss,,,,,,,,,,,,,,,,,,
418,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-42+AF8-418,42,64,0.1,CartPole+AC0-v0,0.0001,False,False,50,33,1,1,23.46,64,3.56332419135354,,,,,,,,,,,,,,,,,,
308,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-31+AF8-308,31,32,0.001,CartPole+AC0-v0,0.0001,False,False,50,26,1,1,22.32,60,3.4152270417947,,,,,,,,,,,,,,,,,,
355,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-36+AF8-355,36,32,0.1,CartPole+AC0-v0,0.01,False,False,50,13,1,1,12.28,41,1.77955690714029,,,,,,,,,,,,,,,,,,
294,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-30+AF8-294,30,32,0.1,CartPole+AC0-v0,0.001,False,False,50,74,1,1,23.34,104,2.49471767166176,,,,,,,,,,,,,,,,,,
356,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-36+AF8-356,36,32,0.1,CartPole+AC0-v0,0.01,False,False,50,51,1,1,16.34,51,3.65418469905853,,,,,,,,,,,,,,,,,,
296,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-30+AF8-296,30,32,0.1,CartPole+AC0-v0,0.001,False,False,50,35,1,1,25.16,76,3.22920012814658,,,,,,,,,,,,,,,,,,
306,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-31+AF8-306,31,32,0.001,CartPole+AC0-v0,0.0001,False,False,50,33,1,1,23.6,75,2.40284341844645,,,,,,,,,,,,,,,,,,
292,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-30+AF8-292,30,32,0.1,CartPole+AC0-v0,0.001,False,False,50,13,1,1,30,114,2.92547545066247,,,,,,,,,,,,,,,,,,
301,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-31+AF8-301,31,32,0.001,CartPole+AC0-v0,0.0001,False,False,50,25,1,1,24.56,64,3.14139355421066,,,,,,,,,,,,,,,,,,
359,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-36+AF8-359,36,32,0.1,CartPole+AC0-v0,0.01,False,False,50,22,1,1,14.96,37,1.98583995483138,,,,,,,,,,,,,,,,,,
281,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-29+AF8-281,29,32,0.01,CartPole+AC0-v0,0.001,False,False,50,58,1,1,26.4,121,4.41631233178336,,,,,,,,,,,,,,,,,,
309,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-31+AF8-309,31,32,0.001,CartPole+AC0-v0,0.0001,False,False,50,15,1,1,25.78,81,3.64246686299642,,,,,,,,,,,,,,,,,,
283,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-29+AF8-283,29,32,0.01,CartPole+AC0-v0,0.001,False,False,50,32,1,1,25.16,98,3.30434565804899,,,,,,,,,,,,,,,,,,
353,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-36+AF8-353,36,32,0.1,CartPole+AC0-v0,0.01,False,False,50,12,1,1,17.52,63,2.92249538501104,,,,,,,,,,,,,,,,,,
351,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-36+AF8-351,36,32,0.1,CartPole+AC0-v0,0.01,False,False,50,58,1,1,19.92,58,3.516280726626,,,,,,,,,,,,,,,,,,
361,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-37+AF8-361,37,64,0.001,CartPole+AC0-v0,0.001,False,False,50,13,1,1,15.92,36,3.91589170235854,,,,,,,,,,,,,,,,,,
